project,commit,coveredClass,coveredClassPath,dstar,ochiai,tarantula,barinel,uniq_changes,developers,age,isSusFlaky
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.utils$StatsOutputStream,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/utils/StatsOutputStream.java,0.032258064516129,0.1767766952966368,0.8616071428571429,1.0373215956637e-17,2,2,5736790.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.common.naming$NamespaceBundle,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/common/naming/NamespaceBundle.java,0.032258064516129,0.1767766952966368,0.8616071428571429,1.0373215956637e-17,3,2,7268028.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$Producer,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/Producer.java,0.032258064516129,0.1767766952966368,0.8616071428571429,1.0373215956637e-17,17,5,4012971.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$Producer$MessagePublishContext,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/Producer.java,0.0208333333333333,0.1428571428571428,0.8008298755186722,9.506281540908152e-20,17,5,4012971.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$Producer$MessagePublishContext$1,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/Producer.java,0.0208333333333333,0.1428571428571428,0.8008298755186722,9.506281540908152e-20,17,5,4012971.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$Consumer$SendMessageInfo,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/Consumer.java,0.0188679245283018,0.1360827634879543,0.7845528455284553,3.261523110339587e-20,21,7,3158922.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentSubscription$8,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentSubscription.java,0.0166666666666666,0.1280368799328959,0.7628458498023716,8.52426097187683e-21,15,5,1696498.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.web$PulsarServerConnector,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/web/PulsarServerConnector.java,0.0149253731343283,0.1212678125181664,0.7423076923076923,2.578199915709516e-21,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$MessageDeduplication,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/MessageDeduplication.java,0.0138888888888888,0.1170411471961305,0.7283018867924528,1.180707584585647e-21,4,1,4096962.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$ModularLoadManagerImpl$3,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/ModularLoadManagerImpl.java,0.0128205128205128,0.1125087900926024,0.7121771217712176,4.949574721752384e-22,14,2,3238448.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$TimeAverageBrokerData,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/TimeAverageBrokerData.java,0.0128205128205128,0.1125087900926024,0.7121771217712176,4.949574721752384e-22,4,2,14966325.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$GenericBrokerHostUsageImpl,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/GenericBrokerHostUsageImpl.java,0.0123456790123456,0.1104315260748465,0.7043795620437957,3.2840677641839573e-22,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats.metrics$JvmMetrics,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/metrics/JvmMetrics.java,0.0121951219512195,0.1097642599896903,0.7018181818181818,2.8739109326637497e-22,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$DistributedIdGenerator,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/DistributedIdGenerator.java,0.0117647058823529,0.1078327732034384,0.6942446043165468,1.9442735423197024e-22,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentTopic$2,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentTopic.java,0.0117647058823529,0.1078327732034384,0.6942446043165468,1.9442735423197024e-22,47,11,1608690.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance$LoadData,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/LoadData.java,0.0116279069767441,0.1072112534837794,0.6917562724014337,1.7119824289036766e-22,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.namespace$OwnershipCache,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/namespace/OwnershipCache.java,0.0116279069767441,0.1072112534837794,0.6917562724014337,1.7119824289036766e-22,2,2,8424937.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance$LeaderElectionService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/LeaderElectionService.java,0.0116279069767441,0.1072112534837794,0.6917562724014337,1.7119824289036766e-22,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$PulsarService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/PulsarService.java,0.0114942528735632,0.1066003581778052,0.6892857142857143,1.5096390008406626e-22,33,11,237198.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.common.naming$NamespaceBundleFactory,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/common/naming/NamespaceBundleFactory.java,0.0106382978723404,0.1025978352085154,0.6724738675958188,6.501890977360795e-23,7,3,3245346.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$ManagedLedgerClientFactory,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/ManagedLedgerClientFactory.java,0.0104166666666666,0.1015346165133619,0.6678200692041523,5.1696698098462864e-23,2,2,7828768.0,0.0
