Name	Commit		GitHub URL	Parent commit	Test Name	Date	Modyfing	Comments	Categories Guillaume	Categories Adriano	Categories final decision	Module suspected to be flaky	Line rank	Method rank	Class rank	Class rank (worst case)	Within the top x% (churn)  	top x% (# of developers)  	top x% (age)  		#Tests	#Classes	#CoveredClasses	#CoveredClassesByFlakyTests
apache/pulsar	77db87e0ce92fbe0bacea097b49d61f7463f4947		https://github.com/apache/pulsar/commit/77db87e0ce92fbe0bacea097b49d61f7463f4947	75a7b3473d87ac67f8c225ee5ff7deffef79890b	testSubscribeTimeout	6 July 2021	Test and Code	5																
apache/pulsar	4919a82cef71232a174799415ed12c1c6155600a		https://github.com/apache/pulsar/commit/4919a82cef71232a174799415ed12c1c6155600a		-	8 August 2021	Test and Code	6																
apache/pulsar	3c53aae5ca7c89044c1a9f32ae3ede11381e405a		https://github.com/apache/pulsar/commit/3c53aae5ca7c89044c1a9f32ae3ede11381e405a		ReplicatorTest.testRemoveClusterFromNamespace	7 September 2021	Test	5																
																								
Alluxio/alluxio	2c56121eb0cff82f38bce021ee0e772d594fe710		https://github.com/Alluxio/alluxio/commit/2c56121eb0cff82f38bce021ee0e772d594fe710	8500557			Test and Code	1																
Alluxio/alluxio	b08c047125407581144689e67942997a0f3fee30		https://github.com/Alluxio/alluxio/commit/b08c047125407581144689e67942997a0f3fee30				Test and Code	1																
Alluxio/alluxio	a7d6bea3ccb53644e6a9131be25e6a369941918b		https://github.com/Alluxio/alluxio/commit/a7d6bea3ccb53644e6a9131be25e6a369941918b		alluxio.master.file.PermissionCheckTest		Test and Code	4																
Alluxio/alluxio	c292bf85eddfe2d9ee608f14bfc2c980701dd494		https://github.com/Alluxio/alluxio/commit/c292bf85eddfe2d9ee608f14bfc2c980701dd494	b30c729	alluxio.proxy.FileSystemClientRestApiTest#*		Code	Near miss as the first method is in the AlluxioProxyProcess module	Async wait	Async wait	Async wait	AlluxioProxyProcess		232	59		75.6	100	24.9		694	860	183	90
Alluxio/alluxio	8ddb29aaa7e3f8557c902550aaae605612f85369		https://github.com/Alluxio/alluxio/commit/8ddb29aaa7e3f8557c902550aaae605612f85369	cc54a405bf5e3b4589638f64ad17543dc7b71d56	tachyon.master.file.FileSystemMasterIntegrationTest		Test and Code		Time	Time	Time	FileSystemMaster		366	14		3.4	5	0.8		315	159	107	85
Alluxio/alluxio	6d233e9e5d061b036e52aa94d9ef7cbb7ebc8ad5		https://github.com/Alluxio/alluxio/commit/6d233e9e5d061b036e52aa94d9ef7cbb7ebc8ad5				Test and Code	1																
