project,commit,coveredClass,coveredClassPath,isSusFlaky,sm_dates,sm_randoms,sm_io,sm_collections,sm_threads,sm_networks,sm_lines,sm_doi,sm_cc
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats.metrics$ManagedLedgerMetrics,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/metrics/ManagedLedgerMetrics.java,0,0,0,0,0,0,0,120,1,4
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$ModularLoadManagerImpl,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/ModularLoadManagerImpl.java,0,0,0,0,4,0,0,874,0,56
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.schema$DefaultSchemaRegistryService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/schema/DefaultSchemaRegistryService.java,0,0,0,0,0,0,0,35,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin.v2$Namespaces,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/v2/Namespaces.java,0,0,0,0,0,0,0,601,3,2
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$DistributedIdGenerator,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/DistributedIdGenerator.java,0,0,0,0,0,0,0,47,0,1
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats.metrics$JvmMetrics,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/metrics/JvmMetrics.java,0,0,0,0,0,2,0,133,1,6
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.lookup.v1$TopicLookup,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/lookup/v1/TopicLookup.java,0,0,0,0,0,0,0,25,2,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$AbstractDispatcherMultipleConsumers,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/AbstractDispatcherMultipleConsumers.java,0,0,0,0,0,0,0,172,0,15
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$TimeAverageBrokerData,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/TimeAverageBrokerData.java,0,0,0,0,0,0,0,152,1,2
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.web$RestException,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/web/RestException.java,0,0,0,1,0,0,0,42,1,2
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.namespace$ServiceUnitZkUtils,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/namespace/ServiceUnitZkUtils.java,0,0,0,0,0,0,0,185,0,7
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin$ZkAdminPaths,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/ZkAdminPaths.java,0,0,0,0,0,0,0,19,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.lookup$LookupResult,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/lookup/LookupResult.java,0,0,0,0,0,0,0,39,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin.v2$PersistentTopics,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/v2/PersistentTopics.java,0,0,0,0,0,0,0,409,3,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.web$PulsarServerConnector,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/web/PulsarServerConnector.java,0,0,0,0,0,0,0,39,1,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentDispatcherSingleActiveConsumer,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentDispatcherSingleActiveConsumer.java,1,0,0,0,0,0,0,435,1,59
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$StreamingStats,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/StreamingStats.java,0,0,0,0,0,0,0,59,0,5
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$SimpleResourceAllocationPolicies,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/SimpleResourceAllocationPolicies.java,0,0,0,0,0,0,0,81,0,3
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance$LeaderElectionService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/LeaderElectionService.java,0,0,0,0,0,0,0,148,0,2
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$AbstractReplicator,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/AbstractReplicator.java,0,0,0,0,0,0,0,220,0,11
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$ModularLoadManagerWrapper,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/ModularLoadManagerWrapper.java,0,0,0,0,1,0,0,91,0,1
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.lookup.v2$TopicLookup,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/lookup/v2/TopicLookup.java,0,0,0,0,0,0,0,24,2,0
